Custom Id,Account Name,Tags,Website URL,Country
5704,Remmers GmbH,DRC_Campaign,,Germany
10014,Rentschler Service GmbH,DRC_Campaign,rentschler.de,Germany
128995,Resonac Graphite Germany GmbH,DRC_Campaign,sglgroup.com,Germany
1874,Rottendorf Pharma GmbH,DRC_Campaign,,Germany
24675,Rudolf GmbH,DRC_Campaign,rudolf.de,Germany
7157,SARSTEDT AG & Co. KG,DRC_Campaign,,Germany
24112,SE Tylose GmbH & Co.KG,DRC_Campaign,setylose.de,Germany
12650,STOCKMEIER Chemicals GmbH & Co. KG,DRC_Campaign,stockmeier.de,Germany
27970,STRATEC SE,DRC_Campaign,stratec-biomedical.de,Germany
5584,Salamander Industrie-Produkte GmbH,DRC_Campaign,,Germany
5564,Sasol Germany GmbH,DRC_Campaign,,Germany
95781,Saxonia Holding GmbH,DRC_Campaign,saxonia.de,Germany
25966,Schill + Seilacher GmbH,DRC_Campaign,schillseilacher.de,Germany
18222,Schlenk SE,DRC_Campaign,schlenk.com,Germany
4516,Schöck Bauteile GmbH,DRC_Campaign,,Germany
2008,Schülke & Mayr GmbH,DRC_Campaign,,Germany
2383,Sievert AG,DRC_Campaign,,Germany
22502,Sim Automation,DRC_Campaign,fta-kg.de,Germany
9769,Simona AG,DRC_Campaign,,Germany
4305,Sirona Dental Systems GmbH,DRC_Campaign,,Germany
31849,Spartherm Feuerungstechnik GmbH,DRC_Campaign,spartherm.com,Germany
83456,Stern-Wywiol Gruppe GmbH & Co. KG,DRC_Campaign,stern-wywiol-gruppe.de,Germany
23222,Steuler Services GmbH & Co. KG,DRC_Campaign,steuler.de,Germany
10364,Südpack Verpackungen SE & Co. KG,DRC_Campaign,suedpack.com,Germany
132331,TANIOBIS GmbH,DRC_Campaign,hcstarck.com,Germany
83455,TFL Holding GmbH,DRC_Campaign,tfl.com,Germany
1576,TRIMET Aluminium SE,DRC_Campaign,,Germany
133633,TWE GmbH & Co. KG,DRC_Campaign,twe-group.com,Germany
36380,TWE Vliesstoffwerke GmbH & Co. KG,DRC_Campaign,twe-vliesstoffwerke.de,Germany
29280,Takasago Europe GmbH,DRC_Campaign,takasago.com,Germany
3812,Tyczka Trading & Supply GmbH & Co.,DRC_Campaign,,Germany
1044,UCB Pharma GmbH,DRC_Campaign,,Germany
27656,URSAPHARM Arzneimittel GmbH,DRC_Campaign,ursapharm.de,Germany
70157,United Initiators GmbH,DRC_Campaign,united-initiators.com,Germany
5224,Uzin Utz SE,DRC_Campaign,,Germany
1597,VARTA AG,DRC_Campaign,,Germany
1289,VDM Metals GmbH,DRC_Campaign,,Germany
4064,VESTA GmbH,DRC_Campaign,,Germany
2163,VITA Zahnfabrik,DRC_Campaign,,Germany
4859,Vestolit GmbH,DRC_Campaign,,Germany
9523,WALA-Heilmittel GmbH,DRC_Campaign,,Germany
9660,Weber GmbH & Co. KG,DRC_Campaign,,Germany
8040,Weleda AG,DRC_Campaign,,Germany
4058,Westlake Vinnolit GmbH & Co. KG,DRC_Campaign,,Germany
22921,WÖRWAG PHARMA GmbH & Co. KG,DRC_Campaign,woerwagpharma.de,Germany
150004,amedes MVZ Trägergesellschaft Göttingen,DRC_Campaign,amedes-group.com,Germany
10049,delta pronatura GmbH,DRC_Campaign,delta-pronatura.de,Germany
13823,pfm medical GmbH,DRC_Campaign,pfm-ag.de,Germany
12521,rose plastic AG,DRC_Campaign,rose-plastic.de,Germany
